,menu_item,date,stock_count,orders
437,Corned Beef Hash,2018-11-09,67,67
438,STRAWBERRY ICE CREAM,2018-11-09,59,59
439,Chicken Sandwich,2018-11-09,161,83
440,Orange Juice,2018-11-09,165,82
441,Pear,2018-11-09,70,70
442,Stewed Corn,2018-11-09,82,58
443,Shrimp Salad,2018-11-09,252,136
444,Scrambled Eggs,2018-11-09,171,85
445,Sauterne,2018-11-09,54,54
446,Boiled eggs,2018-11-09,90,89
447,Crab Flake Cocktail,2018-11-09,68,68
448,Blue Point Oysters,2018-11-09,209,107
449,Stewed Prunes,2018-11-09,98,75
450,Plums,2018-11-09,87,79
451,Oyster cocktail,2018-11-09,103,103
452,Nesselrode Pudding,2018-11-09,90,68
453,Sweet Potatoes,2018-11-09,53,53
454,Orange marmalade,2018-11-09,84,84
455,Tea,2018-10-09,126,68
456,Milk,2018-10-09,90,90
457,Boiled potatoes,2018-10-09,52,52
458,Fruit,2018-10-09,104,104
459,Sardines,2018-10-09,47,47
460,Oranges,2018-10-09,227,227
461,French fried potatoes,2018-10-09,90,90
462,Chocolate Ice Cream,2018-10-09,167,80
463,Sliced Tomatoes,2018-10-09,144,144
464,ROQUEFORT CHEESE,2018-10-09,32,32
465,Cream Cheese,2018-10-09,152,148
466,Crackers,2018-10-09,59,53
467,Grapes,2018-10-09,58,58
468,Biscuit Tortoni,2018-10-09,65,65
469,Dessert,2018-10-09,194,71
470,Shrimp Cocktail,2018-10-09,93,85
471,rice pudding,2018-10-09,178,102
472,Corned Beef Hash,2018-10-09,41,41
473,STRAWBERRY ICE CREAM,2018-10-09,59,59
474,Chicken Sandwich,2018-10-09,80,80
475,Orange Juice,2018-10-09,73,73
476,Pear,2018-10-09,122,117
477,Stewed Corn,2018-10-09,100,80
478,Shrimp Salad,2018-10-09,198,110
479,Scrambled Eggs,2018-10-09,95,69
480,Sauterne,2018-10-09,62,62
481,Boiled eggs,2018-10-09,45,45
482,Crab Flake Cocktail,2018-10-09,23,23
483,Blue Point Oysters,2018-10-09,48,48
484,Stewed Prunes,2018-10-09,49,49
485,Plums,2018-10-09,113,113
486,Oyster cocktail,2018-10-09,87,87
487,Nesselrode Pudding,2018-10-09,107,70
488,Sweet Potatoes,2018-10-09,125,125
489,Orange marmalade,2018-10-09,42,42
490,Tea,2018-09-09,158,50
491,Milk,2018-09-09,113,110
492,Boiled potatoes,2018-09-09,224,141
493,Fruit,2018-09-09,46,46
494,Sardines,2018-09-09,80,80
495,Oranges,2018-09-09,76,76
496,French fried potatoes,2018-09-09,19,19
497,Chocolate Ice Cream,2018-09-09,67,67
498,Sliced Tomatoes,2018-09-09,157,157
499,ROQUEFORT CHEESE,2018-09-09,65,65
500,Cream Cheese,2018-09-09,63,63
501,Crackers,2018-09-09,53,53
502,Grapes,2018-09-09,73,73
503,Biscuit Tortoni,2018-09-09,81,81
504,Dessert,2018-09-09,209,126
505,Shrimp Cocktail,2018-09-09,40,40
506,rice pudding,2018-09-09,158,125
507,Corned Beef Hash,2018-09-09,162,99
508,STRAWBERRY ICE CREAM,2018-09-09,65,65
509,Chicken Sandwich,2018-09-09,107,52
510,Orange Juice,2018-09-09,165,80
511,Pear,2018-09-09,70,62
512,Stewed Corn,2018-09-09,100,100
513,Shrimp Salad,2018-09-09,108,66
514,Scrambled Eggs,2018-09-09,152,75
515,Sauterne,2018-09-09,31,31
516,Boiled eggs,2018-09-09,34,34
517,Crab Flake Cocktail,2018-09-09,38,38
518,Blue Point Oysters,2018-09-09,113,58
519,Stewed Prunes,2018-09-09,110,82
520,Plums,2018-09-09,113,113
521,Oyster cocktail,2018-09-09,32,32
522,Nesselrode Pudding,2018-09-09,49,49
523,Sweet Potatoes,2018-09-09,53,53
524,Orange marmalade,2018-09-09,42,42
525,Tea,2018-08-09,111,60
526,Milk,2018-08-09,136,136
527,Boiled potatoes,2018-08-09,155,80
528,Fruit,2018-08-09,139,139
529,Sardines,2018-08-09,80,80
530,Oranges,2018-08-09,95,95
531,French fried potatoes,2018-08-09,64,64
532,Chocolate Ice Cream,2018-08-09,117,69
533,Sliced Tomatoes,2018-08-09,170,160
534,ROQUEFORT CHEESE,2018-08-09,97,97
535,Cream Cheese,2018-08-09,51,51
536,Crackers,2018-08-09,59,59
537,Grapes,2018-08-09,101,101
538,Biscuit Tortoni,2018-08-09,114,73
539,Dessert,2018-08-09,104,88
540,Shrimp Cocktail,2018-08-09,146,104
541,rice pudding,2018-08-09,79,50
542,Corned Beef Hash,2018-08-09,189,122
543,STRAWBERRY ICE CREAM,2018-08-09,84,84
544,Chicken Sandwich,2018-08-09,40,40
545,Orange Juice,2018-08-09,73,67
546,Pear,2018-08-09,78,77
547,Stewed Corn,2018-08-09,100,100
548,Shrimp Salad,2018-08-09,126,90
549,Scrambled Eggs,2018-08-09,76,59
550,Sauterne,2018-08-09,85,85
551,Boiled eggs,2018-08-09,124,94
552,Crab Flake Cocktail,2018-08-09,106,99
553,Blue Point Oysters,2018-08-09,97,47
554,Stewed Prunes,2018-08-09,98,81
555,Plums,2018-08-09,61,39
556,Oyster cocktail,2018-08-09,32,32
557,Nesselrode Pudding,2018-08-09,57,46
558,Sweet Potatoes,2018-08-09,125,65
559,Orange marmalade,2018-08-09,56,43
560,Tea,2018-07-09,221,214
561,Milk,2018-07-09,147,147
562,Boiled potatoes,2018-07-09,155,155
563,Fruit,2018-07-09,58,58
564,Sardines,2018-07-09,47,47
565,Oranges,2018-07-09,113,111
566,French fried potatoes,2018-07-09,26,26
567,Chocolate Ice Cream,2018-07-09,167,167
568,Sliced Tomatoes,2018-07-09,105,84
569,ROQUEFORT CHEESE,2018-07-09,73,73
570,Cream Cheese,2018-07-09,63,63
571,Crackers,2018-07-09,20,20
572,Grapes,2018-07-09,73,73
573,Biscuit Tortoni,2018-07-09,98,72
574,Dessert,2018-07-09,60,60
575,Shrimp Cocktail,2018-07-09,93,93
576,rice pudding,2018-07-09,99,99
577,Corned Beef Hash,2018-07-09,108,57
578,STRAWBERRY ICE CREAM,2018-07-09,33,33
579,Chicken Sandwich,2018-07-09,134,134
580,Orange Juice,2018-07-09,91,90
581,Pear,2018-07-09,122,122
582,Stewed Corn,2018-07-09,55,55
583,Shrimp Salad,2018-07-09,144,144
584,Scrambled Eggs,2018-07-09,190,77
585,Sauterne,2018-07-09,39,39
586,Boiled eggs,2018-07-09,45,45
587,Crab Flake Cocktail,2018-07-09,23,23
588,Blue Point Oysters,2018-07-09,225,117
589,Stewed Prunes,2018-07-09,49,49
590,Plums,2018-07-09,61,61
591,Oyster cocktail,2018-07-09,39,39
592,Nesselrode Pudding,2018-07-09,66,66
593,Sweet Potatoes,2018-07-09,231,231
594,Orange marmalade,2018-07-09,77,77
595,Tea,2018-06-09,221,128
596,Milk,2018-06-09,57,57
597,Boiled potatoes,2018-06-09,69,69
598,Fruit,2018-06-09,81,81
599,Sardines,2018-06-09,33,33
600,Oranges,2018-06-09,151,126
601,French fried potatoes,2018-06-09,83,83
602,Chocolate Ice Cream,2018-06-09,100,48
603,Sliced Tomatoes,2018-06-09,65,49
604,ROQUEFORT CHEESE,2018-06-09,89,89
605,Cream Cheese,2018-06-09,102,52
606,Crackers,2018-06-09,33,33
607,Grapes,2018-06-09,116,116
608,Biscuit Tortoni,2018-06-09,114,70
609,Dessert,2018-06-09,75,50
610,Shrimp Cocktail,2018-06-09,53,53
611,rice pudding,2018-06-09,59,59
612,Corned Beef Hash,2018-06-09,162,124
613,STRAWBERRY ICE CREAM,2018-06-09,59,59
614,Chicken Sandwich,2018-06-09,121,121
615,Orange Juice,2018-06-09,238,129
616,Pear,2018-06-09,96,96
617,Stewed Corn,2018-06-09,27,27
618,Shrimp Salad,2018-06-09,162,67
619,Scrambled Eggs,2018-06-09,76,55
620,Sauterne,2018-06-09,85,85
621,Boiled eggs,2018-06-09,158,138
622,Crab Flake Cocktail,2018-06-09,84,84
623,Blue Point Oysters,2018-06-09,225,136
624,Stewed Prunes,2018-06-09,61,61
625,Plums,2018-06-09,104,104
626,Oyster cocktail,2018-06-09,55,48
627,Nesselrode Pudding,2018-06-09,41,41
628,Sweet Potatoes,2018-06-09,107,102
629,Orange marmalade,2018-06-09,21,21
630,Tea,2018-05-09,142,55
631,Milk,2018-05-09,102,102
632,Boiled potatoes,2018-05-09,172,56
633,Fruit,2018-05-09,104,94
634,Sardines,2018-05-09,33,33
635,Oranges,2018-05-09,265,61
636,French fried potatoes,2018-05-09,26,26
637,Chocolate Ice Cream,2018-05-09,217,80
638,Sliced Tomatoes,2018-05-09,65,65
639,ROQUEFORT CHEESE,2018-05-09,113,113
640,Cream Cheese,2018-05-09,114,45
641,Crackers,2018-05-09,79,79
642,Grapes,2018-05-09,160,160
643,Biscuit Tortoni,2018-05-09,163,90
644,Dessert,2018-05-09,149,78
645,Shrimp Cocktail,2018-05-09,93,90
646,rice pudding,2018-05-09,59,59
647,Corned Beef Hash,2018-05-09,148,117
648,STRAWBERRY ICE CREAM,2018-05-09,33,33
649,Chicken Sandwich,2018-05-09,174,174
650,Orange Juice,2018-05-09,146,88
651,Pear,2018-05-09,52,52
652,Stewed Corn,2018-05-09,36,36
653,Shrimp Salad,2018-05-09,126,68
654,Scrambled Eggs,2018-05-09,190,60
655,Sauterne,2018-05-09,85,85
656,Boiled eggs,2018-05-09,68,68
